datetime,event,details
1963-07-06T22:02:17Z,Lunar Eclipse (Partial),"Begin: 20:37, Max: 22:02, End: 23:28, Mag: 0.64"
1963-07-20T20:59:22Z,Solar Eclipse (Partial),"Begin: 20:19, Max: 20:59, End: 21:39, Mag: 0.510"
1963-12-30T11:06:43Z,Lunar Eclipse (Not visible),
1964-01-14T20:43:21Z,Solar Eclipse (Not visible),
1964-06-10T04:22:10Z,Solar Eclipse (Not visible),
1964-06-25T01:06:07Z,Lunar Eclipse (Total),"Begin: 23:08, Max: 01:06, End: 03:05, Mag: 1.50"
1964-07-09T11:30:40Z,Solar Eclipse (Not visible),
1964-12-04T01:18:05Z,Solar Eclipse (Not visible),
1964-12-19T02:37:12Z,Lunar Eclipse (Total),"Begin: 01:14, Max: 02:37, End: 04:00, Mag: 1.00"
1965-05-30T21:12:25Z,Solar Eclipse (Not visible),
1965-06-14T01:48:44Z,Lunar Eclipse (Partial),"Begin: 00:58, Max: 01:49, End: 02:40, Mag: 0.17"
1965-11-23T02:48:26Z,Solar Eclipse (Partial),"Begin: 01:55, Max: 02:48, End: 03:44, Mag: 0.942"
1966-05-20T09:38:44Z,Solar Eclipse (Partial),"Begin: 08:21, Max: 09:39, End: 11:01, Mag: 0.714"
1966-11-12T14:26:14Z,Solar Eclipse (Not visible),
1967-04-09T22:20:02Z,Solar Eclipse (Not visible),
1967-04-24T12:06:22Z,Lunar Eclipse (Not visible),
1967-05-09T14:55:14Z,Solar Eclipse (Not visible),
1967-10-18T10:15:06Z,Lunar Eclipse (Not visible),
1967-11-02T05:48:15Z,Solar Eclipse (Not visible),
1968-03-28T22:47:55Z,Solar Eclipse (Not visible),
1968-04-13T04:47:18Z,Lunar Eclipse (Not visible),
1968-09-22T10:50:09Z,Solar Eclipse (Partial),"Begin: 09:44, Max: 10:50, End: 11:56, Mag: 0.463"
1968-10-06T11:41:53Z,Lunar Eclipse (Not visible),
1969-03-18T04:51:18Z,Solar Eclipse (Not visible),
1969-09-11T19:55:45Z,Solar Eclipse (Not visible),
1970-02-21T08:30:02Z,Lunar Eclipse (Not visible),
1970-03-07T19:05:22Z,Solar Eclipse (Partial),"Begin: 18:16, Max: 19:05, End: 19:52, Mag: 0.809"
1970-08-17T03:23:24Z,Lunar Eclipse (Partial),"Begin: 02:45, Max: 03:23, End: 04:02, Mag: 0.17"
1970-08-31T22:01:11Z,Solar Eclipse (Not visible),
1971-01-26T22:55:06Z,Solar Eclipse (Not visible),
1971-02-10T07:44:39Z,Lunar Eclipse (Not visible),
1971-02-25T09:54:29Z,Solar Eclipse (Partial),"Begin: 08:55, Max: 09:54, End: 10:55, Mag: 0.445"
1971-07-22T09:14:57Z,Solar Eclipse (Not visible),
1971-08-06T19:43:10Z,Lunar Eclipse (Total),"Begin: 18:07, Max: 19:43, End: 21:19, Mag: 1.60"
1971-08-20T22:53:20Z,Solar Eclipse (Not visible),
1972-01-16T10:52:23Z,Solar Eclipse (Not visible),
1972-01-30T10:53:23Z,Lunar Eclipse (Not visible),
1972-07-10T20:09:01Z,Solar Eclipse (Partial),"Begin: 19:28, Max: 20:09, End: 20:49, Mag: 0.515"
1972-07-26T07:15:38Z,Lunar Eclipse (Not visible),
1973-01-04T15:42:28Z,Solar Eclipse (Not visible),
1973-06-30T11:41:29Z,Solar Eclipse (Partial),"Begin: 11:27, Max: 11:41, End: 11:55, Mag: 0.019"
1973-12-24T16:34:51Z,Solar Eclipse (Partial),"Begin: 15:27, Max: 16:35, End: 17:36, Mag: 0.651"
1974-06-04T22:15:58Z,Lunar Eclipse (Partial),"Begin: 20:41, Max: 22:16, End: 23:51, Mag: 0.78"
1974-06-20T04:55:39Z,Solar Eclipse (Not visible),
1974-11-29T15:13:22Z,Lunar Eclipse (Total),"Begin: 13:38, Max: 15:13, End: 16:49, Mag: 1.18"
1974-12-13T17:24:18Z,Solar Eclipse (Partial),"Begin: 16:52, Max: 17:24, End: 17:55, Mag: 0.141"
1975-05-11T06:14:21Z,Solar Eclipse (Partial),"Begin: 05:23, Max: 06:14, End: 07:10, Mag: 0.357"
1975-05-25T05:48:01Z,Lunar Eclipse (Not visible),
1975-06-09T18:49:06Z,Solar Eclipse (Not visible),
1975-11-03T13:04:46Z,Solar Eclipse (Not visible),
1975-11-18T22:23:27Z,Lunar Eclipse (Total),"Begin: 20:40, Max: 22:23, End: 00:07, Mag: 1.02"
1976-04-29T10:39:50Z,Solar Eclipse (Partial),"Begin: 09:08, Max: 10:40, End: 12:13, Mag: 0.642"
1976-10-23T05:09:38Z,Solar Eclipse (Not visible),
1977-04-18T10:35:25Z,Solar Eclipse (Not visible),
1977-10-12T20:41:19Z,Solar Eclipse (Partial),"Begin: 20:04, Max: 20:41, End: 21:18, Mag: 0.402"
1978-03-24T16:22:22Z,Lunar Eclipse (Not visible),
1978-04-07T15:15:08Z,Solar Eclipse (Not visible),
1978-09-02T16:08:54Z,Solar Eclipse (Not visible),
1978-09-16T19:04:12Z,Lunar Eclipse (Total),"Begin: 17:32, Max: 19:04, End: 20:36, Mag: 1.19"
1978-10-02T06:40:38Z,Solar Eclipse (Not visible),
1979-02-26T18:16:59Z,Solar Eclipse (Partial),"Begin: 17:44, Max: 18:17, End: 18:49, Mag: 0.236"
1979-03-13T21:08:02Z,Lunar Eclipse (Partial),"Begin: 19:28, Max: 21:08, End: 22:48, Mag: 0.83"
1979-08-22T17:10:26Z,Solar Eclipse (Not visible),
1979-09-06T10:54:12Z,Lunar Eclipse (Not visible),
1980-02-16T08:50:52Z,Solar Eclipse (Not visible),
1980-08-10T19:09:18Z,Solar Eclipse (Not visible),
1981-02-04T22:13:46Z,Solar Eclipse (Not visible),
1981-07-17T04:46:48Z,Lunar Eclipse (Not visible),
1981-07-31T02:33:19Z,Solar Eclipse (Partial),"Begin: 01:46, Max: 02:33, End: 03:23, Mag: 0.751"
1982-01-09T19:55:51Z,Lunar Eclipse (Total),"Begin: 18:27, Max: 19:56, End: 21:25, Mag: 1.18"
1982-01-25T04:55:56Z,Solar Eclipse (Not visible),
1982-06-21T11:51:46Z,Solar Eclipse (Not visible),
1982-07-06T07:30:54Z,Lunar Eclipse (Not visible),
1982-07-20T19:30:21Z,Solar Eclipse (Partial),"Begin: 19:00, Max: 19:30, End: 20:00, Mag: 0.255"
1982-12-15T08:41:36Z,Solar Eclipse (Partial),"Begin: 07:24, Max: 08:42, End: 10:06, Mag: 0.479"
1982-12-30T11:28:44Z,Lunar Eclipse (Not visible),
1983-06-11T04:37:31Z,Solar Eclipse (Not visible),
1983-06-25T08:22:18Z,Lunar Eclipse (Not visible),
1983-12-04T12:48:34Z,Solar Eclipse (Partial),"Begin: 12:36, Max: 12:49, End: 13:01, Mag: 0.010"
1984-05-30T18:09:28Z,Solar Eclipse (Partial),"Begin: 17:23, Max: 18:09, End: 18:54, Mag: 0.410"
1984-11-22T22:56:40Z,Solar Eclipse (Not visible),
1985-05-04T19:56:24Z,Lunar Eclipse (Total),"Begin: 18:32, Max: 19:56, End: 21:21, Mag: 1.06"
1985-05-19T22:13:46Z,Solar Eclipse (Partial),"Begin: 21:28, Max: 22:14, End: 22:59, Mag: 0.582"
